"id","profileName","text","date","title","rating","images","helpful","variant:tamaño","variant:tipo de paquete del cliente"
"R29UZG74VA3ZHZ","Bri H.","formula change, i cant even scoop their litter without all this suffocating litter dust getting everywhere making it hard to breathe through my nose, ive had dusty litter before (pretty litter) and i left it because of that but this one is now EVEN WORSE... every single day i have to turn on the fan so i can breath easier at my desk, even though their litterbox is a good 10 feet away, my cats also have breathing issues when using it due to the insane amount of dust, i always get the 18 lbs and something has radically changed over the last few batches vs a year ago. im finally coming over here to complain about it now. NOT worth the price and especially dangerous if your cats already have breathing problems.","Revisado en los Estados Unidos el 29 de enero de 2026","formula change, suffocating dust everywhere for the 18 lbs","1.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R2TBPY05C97UYJ","Kyla Harrt","It's a wonderful thing finding a brand that doesn't strive to rob pet parents by overcharging. So long as the pricing and quality remains, I'll be a customer for life.

All 10 of my rescue cats love this stuff... Clumping is as good as Hardball litter just without the bankrupting price tag. It works great in all 3 of our robot litter boxes... Also does a great job handling odors after clumping / going to work.

Again can't stress the price tag for the quality... This is what the price of litter SHOULD be, what it should ALWAYS be.","Revisado en los Estados Unidos el 29 de enero de 2026","Best price best litter, no better deal on the market","5.0 de 5 estrellas","","0","40 lb","empaque estándar"
"RDC95ID2IGS7Y","Kailey","This is one of the best curly hair products I have found! It is lightweight and doesn't weigh my hair down or make it feel greasy. I don't feel like I have to use a lot of product to get the results I want. I have fine curly hair and it seems to keep the frizz down fairly well.","Revisado en los Estados Unidos el 29 de enero de 2026","Great curly hair gel!","5.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R235ELZHLBI6YL","Only Rates Packaging","This litter is inexpensive but it produces a ton of dust, which becomes even worse when you have to sweep it up and it gets into the air. If you have asthma or allergies, choose another product. I can't even pour the stuff when it's clean without a problem. We used the tofu stuff, which was near zero dust, until our new automatic litter bin wouldn't take that kind.

It's also heavy af. I guess we'll try the crystals or something.","Revisado en los Estados Unidos el 28 de enero de 2026","Lots of dust","3.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R14UFYMMMGAOAO","meercat","Dr. Elsey's cat litter is the absolute best litter I've ever used. It clumps very hard and stays together while being scooped so that I can scoop up the clump without it falling into pieces that slip right through the scooper! It is excellent on odor control too. I can't speak to the tracking outside the litter box as my cat has very long fur and thus has long clumps of fur between his toes! I doubt that there is a litter on this earth that could eliminate tracking but I can say that even with his furry toes there is less tracking. I love this litter - it has solved problems that no other litter I've tried has.","Revisado en los Estados Unidos el 28 de enero de 2026","Best litter ever","5.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R3RLEUGBLQ1CFR","pamela","Not for us. It doesn’t cover order more than 2 days.","Revisado en los Estados Unidos el 28 de enero de 2026","Not for us","3.0 de 5 estrellas","","0","18 lb","empaque estándar"
"R89KH166E1ATH","Elise","Litter was extremely hard to scoop and became like wet clay - impossible to clean off the side and bottom of the litter box even with regular cleaning. We have used other litters and have not had this issue.","Revisado en los Estados Unidos el 27 de enero de 2026","Not for our kitty","2.0 de 5 estrellas","","0","18 lb","empaque estándar"
"R8WVY6QDP9M3E","JB","Delivered promptly to my door-thanks so much it is heavy 🐱👏👏👏🪴","Revisado en los Estados Unidos el 27 de enero de 2026","Fast to my door delivery!","5.0 de 5 estrellas","","0","18 lb","empaque estándar"
"R2MV4VHXW65ND1","Tony A.","Ups did a good delivery, and cat litter is a great program","Revisado en los Estados Unidos el 27 de enero de 2026","Cat litter","5.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R1H95CXLB7IX0Y","sharon","Zero odor control. I tried for more than 2 months. It’s just not there. Bad litter!","Revisado en los Estados Unidos el 27 de enero de 2026","Odor control","1.0 de 5 estrellas","","0","18 lb","empaque estándar"
