"id","profileName","text","date","title","rating","images","helpful","variant:tamaño","variant:tipo de paquete del cliente"
"R25G4CDHBUSYD","Ileana de Anda","Está bien cara para lo que da, la compré para un arenero automático por el disque gran poder de aglutinamiento que promete, y los terrones que forma siempre sueltan cachitos así que de todos modos lo tengo que limpiar manualmente. Además de que no controla los olores pero ni tantito","Revisado en México el 7 de diciembre de 2020","Desperdicio de dinero","1.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R1H4CHN0833SJ9","J.","Es genial, no desprende cantidades incómodas de polvo al recoger los desechos. Ni siquiera al momento de vaciar la arena al recipiente. El efecto aglutinante es bueno, no excelente pero superior al promedio. Absorbe bastante bien los olores (igual se recomienda limpiar todos los días) y sin el fatal olor agregado de la arena de Febreeze que hasta apesta a los pobres gatos :(","Revisado en México el 21 de noviembre de 2020","La mejor que he probado hasta ahora.","5.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R2A785LCIX6VRH","JAIME CAMACHO MARTINEZ","es bueno el producto","Revisado en México el 2 de julio de 2020","Te da lo que te promete","4.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R3RK58OD6R6C1","Marcela Macías","Muy buena arena.","Revisado en México el 18 de mayo de 2020","Aglutina super bien","5.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R1PXHLAZ6PNDCL","andrea","Buena arena, no es la mejor que eh probado, pero cumple su función y no es cara.","Revisado en México el 27 de abril de 2020","Bien","4.0 de 5 estrellas","","0","18 lb","empaque estándar"
"R2JGF2PG86QHNY","Aurora Alemán","Excelente calidad, no tiene aroma y aún así bloquea los aromas de los deshechos de mi gato a la perfección. Se aglutina muy bien, lo que hace fácil la limpieza.","Revisado en México el 8 de abril de 2020","Excelente calidad","5.0 de 5 estrellas","","0","18 lb","empaque estándar"
"R2E0GXHPIW8NR6","GordonJ001","Se agrupa bien y tiene bajos niveles de polvo.","Revisado en México el 6 de enero de 2020","Polvo no","5.0 de 5 estrellas","","0","40 lb","empaque estándar"
"REVA4CDBAK5F1","Andrea","Buen producto pero muy caro. Promete que no se formen bolas y sí se forman como quiera...aunque en menor cantidad.","Revisado en México el 22 de diciembre de 2019","Bueno","4.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R1XXIKISGAO56E","JUAN VALDEZ","Es un producto que utilizo desde que salio al mercado, siempre he tenido gatos y es muy efectivo","Revisado en México el 19 de diciembre de 2019","su calidad","5.0 de 5 estrellas","","0","40 lb","empaque estándar"
"RMOOVK1I1ZJ0G","Aruran","En casa probamos muchas arenas, porque mi gata salió bastante especial en ese sentido.
Ninguna arena la tenía contenta; con esta, va directo a la caja y le gusta estar ahí rascando.
Casi no se hace reguero fuera del tapete, aglutina bastante bien y no huele (yo limpio una vez al día).
Lo que más me gusta es que no tiene nada de polvo, al limpiar y al vaciar la bolsa no se hace una nube de polvo.","Revisado en México el 17 de diciembre de 2019","La mejor arena","5.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R1SIFPENC0BSZQ","Lorena Muse","Quise probar esta marca como alternativa a el costal de Scoop Away que compro en Costco y que tiene un precio muy competitivo.

Lo bueno: Definitivamente no genera polvo al llenar el arenero y/o al limpiarlo.
Aglutina muy bien la orina pero lo ideal es tener por lo menos 6cm de producto en el arenero para que rinda.
Aroma: No tiene el desagradable y penetrante olor a “lavanda” como la marca Scoop Away.

Lo malo: no se adhiere tanto a las heces.
Mi gato entierra sus desechos y aún así no se adhiere tanto.

Tamaño: Hay pedacitos de arena muy gruesos que se atoran en el cernidor.
Al no tener aromatizante no “enmascara” tanto el olor de los desechos.
Pero limpiando el arenero diario dos veces al día esto no es un problema.
.","Revisado en México el 23 de noviembre de 2019","La volvería a comprar si costara menos","4.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R1YGIQVYMG8FSD","Denise","Funciona bien pero se huele rapido","Revisado en México el 18 de noviembre de 2019","Funciona bien pero se huele rapido","4.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R2V5YH79JRRO8X","Emy Cos","Vaya que si esconde los olores. Me encantó","Revisado en México el 29 de octubre de 2019","La mejor","5.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R1G1O01CZ5YD31","PVAC","Arena de calidad, aglomera muy bien y atrapa los olores.","Revisado en México el 16 de julio de 2019","Recomiendo esta arena","5.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R40WGLJZQ10SW","sergio jose vazquez pando","Regadero tremendo! Con fresh step se sale menos la arena del arenero. Los olores no los disfraza tanto. Pero aglutina bien.","Revisado en México el 16 de julio de 2019","Aglutina bien","3.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R37ONSDQFJHAE1","Marco Nuñez","Se separa la suciedad de la arena limpia sin problemas, lo recomiendo mucho pero no tiene desodorante como lo indica la descripción , cumple excelente con mantenerse sin olores pero hay que tener el cuidado de limpiarla un par de veces al día.","Revisado en México el 14 de julio de 2019","Excelente calidad","5.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R16FKB9M3YJCVT","Sara Ortega","Buenisima arena se aglutina bastante y no levanta polvo ni olor.","Revisado en México el 11 de julio de 2019","Vale la pena el precio.","5.0 de 5 estrellas","","0","40 lb","empaque estándar"
"RTT0FVJXIPUT","mmb","He probado muchas arenas para mis gatos y esta es la que más me ha gustado y a ellos también. Lo compruebo por qué tengo 2 areneros y donde puse está arena es donde más hacen, la otra caja permanece limpia. Excelente control de olores y hace muy buenos terrones. Vale la pena lo que pagas.","Revisado en México el 11 de junio de 2019","Es la mejor","5.0 de 5 estrellas","","0","40 lb","empaque estándar"
"RWU0C7RDMUXBB","Andrea S","Una arena que realmente aglutina y forma terrones super firmes lo que ayuda a que se limpie de forma fácil y rápida las cajas de arena","Revisado en México el 19 de marzo de 2019","Si es arena premium","5.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R2U522RDF0V7QZ","Adrianne Alba","Este producto superó con creces mis expectativas en el área de aglutinamiento, básicamente transforma los deshechos en una piedra. Otros productos que he probado forman terrones que, al momento de limpiar la caja, se rompen en fragmentos que me hacen perder mucho tiempo para recogerlos todos.

Además el precio es accesible y, al tener como base un material tan inerte como la arcilla (clay), no me tengo que preocupar por alergias. El único pero es que es una bolsa algo pesada.","Revisado en México el 18 de febrero de 2019","Dice Ultra Premium por algo.","5.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R2GB2OY09VQAOZ","Linda H. Gessaman","This literally is amazing and clumps good and is easy to scoop.","Revisado en los Estados Unidos el 1 de febrero de 2026","Best Ever","5.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R3961SLXBTMZA9","ROSANGELA","I can't recommend Dr. Elsey's cat litter enough! This litter has been a game changer for me and my cats. It clumps exceptionally well, making it easy to clean and maintain the litter box. The odor control is impressive; it neutralizes smells effectively without any overpowering fragrances. My cats took to it right away, and I love that it's made from natural ingredients. Plus, it doesn't leave a mess outside the box, which is a huge plus! If you're looking for a high-quality cat litter that both you and your pets will love, Dr. Elsey's is the way to go!","Revisado en los Estados Unidos el 1 de febrero de 2026","Great Cat Litter","5.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R1XMRB4TCHCFDJ","Tyrell Middleto","Its a no for me there is dust","Revisado en los Estados Unidos el 1 de febrero de 2026","Dust","1.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R2MIYH7Z3OET6S","JOHN H.","I used this for my automatic cat litter so far the odor blocks out the smell unlike other u
cat litters. It’s very easy to clean with this type of litter. The absorb of this is also good so far I’ve been using this for a week and so far it’s pretty good recommended.","Revisado en los Estados Unidos el 1 de febrero de 2026","Good affordable cat litter. (Recommended)","5.0 de 5 estrellas","","0","18 lb","empaque estándar"
"R30Y8VXG1EL156","Becky B","Within one day of a complete box change out, the new litter was as stinky as a weak use of a different company’s litter. This does not work well for odor control. It also has a strong fragrance.","Revisado en los Estados Unidos el 1 de febrero de 2026","Not good at odor control","2.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R13T8RRDT25Y1J","Ciggy","*Not* 99.9% dust free as advertised. The Ultra is for Ultra dust clouds. If you or your cats have any allergies, this is not for you. The R&R formula is better, but for a price.","Revisado en los Estados Unidos el 1 de febrero de 2026","*Not* 99.9% dust free","1.0 de 5 estrellas","","0","18 lb","empaque estándar"
"R6WITWJGFESR9","leebreviews","I prefer unscented litter for my cat because I do not want to introduce unnecessary chemicals to my cat that might be health hazard to her in future.I clean atleast twice a day for her.I always find clumping litter cleans best after scooping and there are no unnecessary left over part of dirt.I wash litter box every 5th day and replace with fresh litter.This is a nice quantity that is good for my two year old cat for two weeks.","Revisado en los Estados Unidos el 1 de febrero de 2026","Clumps great","5.0 de 5 estrellas","","0","18 lb","empaque estándar"
"R3RRNTDFQAH6JK","Christina Wildermuth","I have been using this litter for years for my cats. It's the best!! Complete clumps and no odors!!! Very minimal dust!!","Revisado en los Estados Unidos el 31 de enero de 2026","Highly recommend!","5.0 de 5 estrellas","","0","18 lb","empaque estándar"
"RBC9E87BAHX5S","Koosh","This litter is disgusting, i don’t know how anyone can stand it. I’ve never seen any that track as much as this one. There’s no way to contain it. It must stick to his paws like glue with the tiniest amount of moisture like what skin/ paw pads has. I thought the heavy version would track less, ABSOLUTELY NOT. The light weight cat litters do not track this bad. And the Clay in it leaves dust EVERYWHERE including on his paws at all times, so that if he touches anything damp he will leave actual dirty footprints on any smooth surface, it is disgusting. He will cross 5 diff rugs, 4 rooms, and this is still coming off of him, all the way into my bed. This is totally unsanitary and unhealthy. It also doesn’t even clump well if your cat likes to dig deep in the litter to pee or poo. If it sticks to the bottom it just crumbles to bits. No idea how this litter is rated well. Its the worst I’ve ever tried. Gave one star for being unscented and not seemingly loaded with artificial chemicals. I don’t think my cat likes it either. Ive never had any litterbox issues with him but with this one he will literally throw his poop out of it sometimes. Yeah no thanks.","Revisado en los Estados Unidos el 31 de enero de 2026","Tracks worse than any I’ve ever seen. Horrible","2.0 de 5 estrellas","","0","40 lb","empaque estándar"
