"id","profileName","text","date","title","rating","images","helpful","variant:"
"R4WV6BS8EHKMX","JOANN SMOTHERS","I love the lightweight litter. I am a senior , can't lift the other","Revisado en los Estados Unidos el 16 de junio de 2025","LIGHT LITTLE","5.0 de 5 estrellas","","0",
"R1V4S4T6T4HA96","Bobby","Product is overpriced for value","Revisado en los Estados Unidos el 11 de junio de 2025","Too expensive","2.0 de 5 estrellas","","0",
"R3DAO845HPB5F","Laura","Used for so many years with no issue. I have since changed brands, but for reasons that don't concern the brand Tidy Cats directly (I try to go for corn-based now). Their litter is great. It does have a basic litter smell, but does a good job at trapping cat odors. It's not especially dusty on my medium-hair black cat either (nothing is perfect with a black cat though lol), and seems to like it just fine too, never had issues with the texture or anything. The lightweight aspect always made it easy for me to carry a box home, if I couldn't get it delivered through amazon.I actually still do use it a bit. I use 50/50 of this, with the other part being corn-based litter. I find the corn litter struggles a bit more with cat odors, but has a gentler basic smell. Combining the two litters gives out a great balance for odor control!","Revisado en Canadá el 6 de junio de 2025","Great value litter","5.0 de 5 estrellas","","0",
"RSEOITK4ZKW44","Mike","GRAT PRODUCT AND GOOD PRICE","Revisado en Canadá el 24 de mayo de 2025","quality","5.0 de 5 estrellas","","0",
"R17WTATZ333FKX","Ms. Cloud","Clumps and keeps odor down but tracks litter all over the place! Gets stuck in my cats’ paws too. Wish I could return!","Revisado en los Estados Unidos el 30 de marzo de 2025","Tracks all over the place","1.0 de 5 estrellas","","0",
"R1BJPN4KSCEPEL","Jeremy Yara","Good","Revisado en los Estados Unidos el 27 de marzo de 2025","Good","5.0 de 5 estrellas","","0",
"R2P66M2TUZQ42N","Ryan Templeton","Great cat litter. Keeps the litter box from smelling and clumps fairly quickly and is easy to clean up. No issues with cat using it and is easy to sweep up if any gets on floor. Would buy again.","Revisado en los Estados Unidos el 4 de marzo de 2025","Cat litter for cats","5.0 de 5 estrellas","","0",
"R6AXZ0ZEQTDAV","Lura","This was my favorite cat litter. The last two boxes I got were different. They were a different color and didn’t control odor at all! Quality control is lacking I believe because of the different color it’s a different litter than what it is supposed to be.","Revisado en los Estados Unidos el 27 de febrero de 2025","Awful litter","1.0 de 5 estrellas","","0",
"RUK00HLEFGGQX","Lynda Casagrande","Lightweight and easy to use. Complete Odor Control if scooped daily.","Revisado en los Estados Unidos el 18 de febrero de 2025","Good Odor Control","5.0 de 5 estrellas","","0",
"R3ARVOT80GR5HS","Lynda Kelly","I’m discovering that each time I order is different. I’m afraid to try a new this is all he knows .
Tracking mess","Revisado en los Estados Unidos el 15 de febrero de 2025","Best for my cat","3.0 de 5 estrellas","","0",
"R2PKO92Z3LOM9M","Amazon Customer","it's exactly as stated in the features, my cat loves this new litter and it really is ""dust"" free and light weight, I would purchase this item again","Revisado en Canadá el 10 de febrero de 2025","GREAT PURCHASE","5.0 de 5 estrellas","","0",
